Name,Symbol,Atomic Weight
Hydrogen,H,1.008
Helium,He,4.0026
Lithium,Li,6.94
Berylium,Be,9.0122
Boron,B,10.81
Carbon,C,12.011
Nitrogen,N,14.007
Oxygen,O,15.999
Flourine,F,18.998
Neon,Ne,20.18
Sodium,Na,22.99
Magnesium,Mg,24.305
Aluminum,Al,26.982
Silicon,Si,28.085
Phosphorous,P,30.974
Sulfur,S,32.06
Chlorine,Cl,35.45
Argon,Ar,39.95
Potassium,K,39.098
Calcium,Ca,40.078
Scandium,Sc,44.956
Titanium,Ti,47.867
Vanadium,V,50.942
Chromium,Cr,51.996
Maganese,Mn,54.938
Iron,Fe,55.845
Cobalt,Co,58.933
Nickel,Ni,58.693
Copper,Cu,63.546
Zinc,Zn,65.38
Galium,Ga,69.723
Germanium,Ge,72.63
Arsenic,As,74.922
Selenium,Se,78.971
Bromine,Br,79.904
Krypton,Kr,83.798
Rubidium,Rb,85.468
Strontium,Sr,87.62
Ytitrium,Ti,88.906
Zirconium,Zr,91.224
Niobium,Nb,92.906
Molybdenum,Mo,95.95
Ruthenium,Ru,101.07
Rhodium,Rh,102.91
Palladium,Pd,106.42
Silver,Ag,107.87
Cadmium,Cd,112.41
Indium,In,114.82
Tin,Sn,118.71
Antimony,Sb,121.76
Tellurium,Te,127.6
Iodine,In,126.9
Zenon,Xe,131.29
Caesium,Cs,132.91
Barium,Ba,137.33
Lanthanum,La,138.91
Cerium,Ce,140.12
Praseodymium,Pr,140.91
Neodymium,Nd,144.24
Samarium,Sm,150.36
Europium,Eu,151.96
Gadolnium,Gd,157.25
Terbium,Tb,158.93
Dysprosium,Dy,162.5
Erbium,Er,167.26
Thulium,Tm,168.93
Ytterbium,Tb,173.05
Lutelium,Lu,174.97
Hafnium,Hf,178.49
Tantalum,Ta,180.95
Tungsten,W,183.84
Rhenium,Re,186.21
Osmium,Os,190.23
Iridium,Ir,192.22
Platinum,Pt,195.08
Gold,Au,196.97
Mecury,Hg,200.59
Thalium,Tl,204.38
Lead,Pb,207.2
Bismuth,Bi,208.98
Thorium,Th,232.04
Protactinium,Pa,231.04
Uranium,U,238.03